"","URL","Name","YearEst","Employees","Revenue"
"131","https://www.proff.dk/firma/bio-medical-consult-holding-aps/aalborg/bioteknologi/0J7GDJI0225/","BIO-MEDICAL CONSULT HOLDING ApS",2009,NA,30
"132","https://www.proff.dk/firma/bioroots-aps/gilleleje/bioteknologi/0MEPU2I0225/","BIOROOTS ApS",2016,NA,27
"133","https://www.proff.dk/firma/argo-biotech-aps/kongens-lyngby/bioteknologi/0OHN5DI0225/","Argo Biotech ApS",2020,NA,27
"134","https://www.proff.dk/firma/loxigen-aps/klampenborg/bioteknologi/0OJ4A1I0225/","LOXiGen ApS",2020,NA,25
"135","https://www.proff.dk/firma/endogen-aps/risskov/bioteknologi/0HR049I0225/","ENDOGEN ApS",2008,NA,23
"136","https://www.proff.dk/firma/como-holding-aps/aarhus-n/bioteknologi/0F6Q10I0225/","COMO HOLDING ApS",2000,NA,22
"137","https://www.proff.dk/firma/zocca-consulting-aps/k%C3%B8benhavn-k/bioteknologi/0LOOTYI0225/","ZOCCA CONSULTING ApS",2014,NA,22
"138","https://www.proff.dk/firma/stig-g%C3%BCnther-aps/frederikssund/bioteknologi/0H98ITI0225/","STIG GÜNTHER ApS",2005,1,21
"139","https://www.proff.dk/firma/endeavour-cells-aps/fredericia/bioteknologi/0M69OFI0225/","Endeavour Cells ApS",2015,NA,0
"140","https://www.proff.dk/firma/boost-pharma-aps/k%C3%B8benhavn-n/bioteknologi/0OHCRZI0225/","BOOST Pharma ApS",2020,3,21
"141","https://www.proff.dk/firma/snipr-holdings-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0N4MMOI0225/","SNIPR Holdings ApS",2017,NA,20
"142","https://www.proff.dk/firma/cumulus-bio-aps/hvidovre/bioteknologi/0KL47CI0225/","CUMULUS BIO ApS",2012,NA,18
"143","https://www.proff.dk/firma/noz-aps/solr%C3%B8d-strand/bioteknologi/0L2TV9I0225/","NOZ ApS",2013,NA,17
"144","https://www.proff.dk/firma/pnn-memocore-aps/kvistg%C3%A5rd/bioteknologi/0J3YGCI0225/","PNN MEMOCORE ApS",2009,NA,16
"145","https://www.proff.dk/firma/redl-holding-aps/k%C3%B8benhavn-n/bioteknologi/0OHQEDI0225/","Redl Holding ApS",2020,NA,15
"146","https://www.proff.dk/firma/unibio-usa-aps/roskilde/bioteknologi/0MQBR9I0225/","Unibio USA ApS",2016,NA,14
"147","https://www.proff.dk/firma/viru-aps/havdrup/bioteknologi/0IZMTEI0225/","VIRU ApS",2008,NA,12
"148","https://www.proff.dk/firma/pn-investment-aps/k%C3%B8benhavn-k/bioteknologi/0K5R9RI0225/","PN INVESTMENT ApS",2011,NA,12
"149","https://www.proff.dk/firma/simon-glerup-holding-aps/risskov/bioteknologi/0MY67MI0225/","Simon Glerup Holding ApS",2017,NA,12
"150","https://www.proff.dk/firma/joachim-vilstrup-holding-aps/aarhus-c/bioteknologi/0NS4EVI0225/","Joachim Vilstrup Holding ApS",2018,NA,12
"151","https://www.proff.dk/firma/bee-patch-usa-aps/lejre/bioteknologi/0OLJG8I0225/","Bee-Patch USA ApS",2020,NA,5
"152","https://www.proff.dk/firma/bioligands-aps/odense-sv/bioteknologi/0FU73AI0225/","BIOLIGANDS ApS",2002,NA,4
"153","https://www.proff.dk/firma/fey-holding-aps/blommenslyst/bioteknologi/0HKY3DI0225/","FEY HOLDING ApS",2006,NA,4
"154","https://www.proff.dk/firma/astim-holding-aps/virum/bioteknologi/0N9DS3I0225/","ASTIM Holding ApS",2017,NA,4
"155","https://www.proff.dk/firma/t.%C3%B8.-holding-aps/esperg%C3%A6rde/bioteknologi/0N9DU8I0225/","T.Ø. Holding ApS",2017,NA,4
"156","https://www.proff.dk/firma/devopharma-aps/charlottenlund/bioteknologi/0N783II0225/","Devopharma ApS",2017,NA,3
"157","https://www.proff.dk/firma/safe-implant-technology-aps/charlottenlund/bioteknologi/0N78SHI0225/","Safe Implant Technology ApS",2017,NA,3
"158","https://www.proff.dk/firma/caba-aps/charlottenlund/bioteknologi/0NMQEPI0225/","CABA APS",2018,NA,3
"159","https://www.proff.dk/firma/enduro-genetics-aps/k%C3%B8benhavn-n/bioteknologi/0ODXAPI0225/","Enduro Genetics ApS",2019,7,2
"160","https://www.proff.dk/firma/pulmopharma-aps/ebeltoft/bioteknologi/0LOS1JI0225/","PULMOPHARMA ApS",2014,NA,1
"161","https://www.proff.dk/firma/sdc-sensor-aps/risskov/bioteknologi/0LRBNBI0225/","SDC SENSOR ApS",2015,NA,1
"162","https://www.proff.dk/firma/asr%C3%B8-holding-aps/n%C3%A6rum/bioteknologi/0N0OGOI0225/","ASRØ Holding ApS",2017,NA,1
"163","https://www.proff.dk/firma/ptl-health-aps/v%C3%A6rl%C3%B8se/bioteknologi/0NISCYI0225/","PTL Health ApS",2018,NA,1
"164","https://www.proff.dk/firma/origio-as/m%C3%A5l%C3%B8v/bioteknologi/GJGXRSI0225/","Origio A/S",1987,131,185823
"165","https://www.proff.dk/firma/ferring-pharmaceuticals-as/k%C3%B8benhavn-s/bioteknologi/GK0KAKI0225/","Ferring Pharmaceuticals A/S",1992,537,1051468
"166","https://www.proff.dk/firma/landbrug-f%C3%B8devarer-f.m.b.a/k%C3%B8benhavn-v/bioteknologi/GL54ZWI0225/","Landbrug &amp; Fødevarer F.m.b.a",1983,505,589000
"167","https://www.proff.dk/firma/kr%C3%A6ftens-bek%C3%A6mpelse/k%C3%B8benhavn-%C3%B8/bioteknologi/GL83KMI0225/","Kræftens Bekæmpelse",0,0,0
